Order_Number,Customer_identifier,Order_Date,City,Region,State_Code,Country_Code,Cart_Discount_Amount,Order_Subtotal_Amount,Shipping_Method_Title,Currency,Currency_Symbol,Order_Shipping_Amount,Order_Refund_Amount,Order_Total_Amount,Order_Total_Tax_Amount,SKU,Item_#,Item_Name,Quantity_(- Refund),Item_Cost,Coupon_Code,Discount_Amount,Discount_Amount_Tax,Attribution,Website
7693,0,07/05/2025,Badminton,South West,AVON,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
1008,0,26/04/2024,Badminton,South West,AVON,GB,9,35.98,Shipping,GBP,£,3.99,0,30.97,4.49,,1,8 Week Trial,1,35.98,discount,9,0,Unknown,Woocommerce
5673,1,06/09/2024,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Web admin,Squarespace
6168,1,07/10/2024,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
6396,1,07/11/2024,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6609,1,07/12/2024,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
6796,1,07/01/2025,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7082,1,07/02/2025,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7282,1,07/03/2025,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7518,1,07/04/2025,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7692,1,07/05/2025,Preston,North West,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
1507,1,06/08/2024,Preston,North West,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1373,1,06/07/2024,Preston,North West,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1204,1,06/06/2024,Preston,North West,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1071,1,06/05/2024,Preston,North West,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
890,1,13/04/2024,Preston,North West,Lancashire,GB,0,19.99,Shipping,GBP,£,2.99,0,22.98,3.33,,1,One Month's Supply,1,19.99,,,,Unknown,Woocommerce
6617,2,09/12/2024,Chepstow,Wales,Please select...,GB,0,29.98,Royal Mail Second Class,GBP,£,2.99,0,38.97,6,SQ3720870,1,8 Week Trial,1,29.98,,,,Organic: Google,Squarespace
7691,2,07/05/2025,Chepstow,Wales,,GB,0,33.32,Royal Mail Second Class,GBP,£,2.99,0,42.97,6.66,SQ9497841,1,One Month's Supply,2,16.66,,,,Organic: Google,Squarespace
1033,2,30/04/2024,Chepstow,Wales,Wales,GB,9,35.98,Shipping,GBP,£,2.99,0,29.97,4.49,,1,Two Months' Supply,1,35.98,discount,9,0,Unknown,Woocommerce
7690,3,06/05/2025,Liverpool,North West,,GB,0,16.66,Royal Mail Second Class,GBP,£,2.99,0,22.98,3.33,SQ9497841,1,One Month's Supply,1,16.66,,,,Organic: Google,Squarespace
6394,4,06/11/2024,Wigan,North West,Merseyside,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
6602,4,06/12/2024,Wigan,North West,Merseyside,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Source: Customer_notification,Squarespace
6794,4,06/01/2025,Wigan,North West,Merseyside,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Web admin,Squarespace
7081,4,06/02/2025,Wigan,North West,Merseyside,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7279,4,06/03/2025,Wigan,North West,Merseyside,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7515,4,06/04/2025,Wigan,North West,Merseyside,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7689,4,06/05/2025,Wigan,North West,Merseyside,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
1664,4,10/09/2024,Wigan,North West,Merseyside,GB,9,35.98,Shipping,GBP,£,2.99,0,29.97,4.49,,1,Two Months' Supply,1,35.98,discount,9,0,Direct,Woocommerce
5674,5,06/09/2024,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
6160,5,06/10/2024,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
6392,5,06/11/2024,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6601,5,06/12/2024,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Web admin,Squarespace
6793,5,06/01/2025,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7080,5,06/02/2025,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7278,5,06/03/2025,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
